Section,Epic,Item,Functional Goal Explanation,Description,Hrs,NewStatus,Main Actors,Dev Notes,Phase,Order
Application,Customer Communication,Send SMS,Deliver estimates to customers via SMS with secure link,"Customizable SMS template with placeholders (name, dealer, link). Editable phone number field. Twilio integration for delivery. Generates unique secure link to mobile estimate UI.",32,Updated,Advisor,Twilio SMS integration. Link shortener integration,2,14
Application,Mobile UI,Customer Facing Estimate UI,Mobile-optimized estimate review and approval interface,"Professional mobile UI with vehicle photo header. Item-by-item approve/decline. Dynamic total recalculation on decline. Digital signature capture required. Shows validity timeframe, terms & conditions. Aesthetic customization per dealer (colors, logo).",64,Updated,Customer,"No localStorage, mobile-first design. Specific endpoint with token Auth to serve the Mobile UI",2,15
Application,Service Management,Estimate Rewinding,Update estimates after partial approval with new items,Add new items to previously approved estimate. Customer sees approved items marked and new items pending. Supports iterative approval process as new work is discovered.,16,New,Technician; Advisor,Critical for real-world workflow,3,13
Application,Customer Communication,See Read-Only Service Request Status,View submitted estimate with signature,Read-only view after customer submission showing what was approved/declined with signature. Submit button shows 'Submitted' status.,8,Updated,Customer; Advisor; Technician,Reuses mobile UI in read-only mode,3,16
Application,Customer Communication,Manual Estimate Resend,Manually resend existing estimate link,Simple resend of existing estimate via SMS. No automatic reminders in MVP as process ends when estimate closes. Manual action only.,4,Updated,Advisor,Simplified from auto-reminders,3,17
Application,Notifications,Real-time Notifications,Alert users to important estimate events,"Browser-based notifications for: estimate signed (all), approved (all), declined all (advisor), advisor review needed (all), needs P&A (parts), inspection created (tech). Non-intrusive one-line display with expand option. Click-through to relevant estimate.",40,New,Advisor; Technician; Parts Person,Role-specific routing,3,18
Application,Notifications,View Notification History,Access historical notification data,View past notifications and system events. Lower priority for MVP.,8,Not Changed,Advisor; Technician,Consider for future phase,3,19
Application,Administration,Template Management,Create and customize inspection templates per dealer,CRUD operations for inspection templates with categories/items. Clone existing templates. Active/inactive status. Dealers can customize their own templates.,32,Updated,Admin; Dealer Admin,Critical for dealer flexibility,3,20
Application,Administration,User Management,Manage user accounts and role assignments,Create/edit users with multiple role support. Link users to multiple dealers. Activate/deactivate accounts. First-time login flow with password reset.,40,Updated,Admin; Dealer Admin,Supabase Auth integration,3,21
Application,Administration,Dealer Management,Configure dealer tenants and settings,"Create/edit dealer profiles with business info, hours, timezone. Logo upload. Logical deletion. One location per dealer (MVP). Placeholder for dealer groups.",32,Updated,Admin,Multi-tenant architecture,3,22
Application,Authentication,Two Factor Auth,Enhance security with two-factor authentication via authenticator apps,TOTP-based 2FA using authenticator apps. Can be mandatory or optional based on dealer settings.,16,Updated,Admin; Advisor; Technician; Parts Person; Dealer Admin,Supabase Auth TOTP support,3,11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Total Hours,620,,,,,
,,,,Total Weeks,15.5,,,,,
,,,,Total Months,3.875,,,,,
